I2	LiI	BMII	TBP	GuSCN	Jsc(uAcm-2)	Voc(V)	PCE(%)
0,01	0,1	1,5	    1,5	0,1	    59,3854375	0,6435	18,5585
0,01	0,1	0,5	    1	0,1	    59,937375	0,657	19,1205
0,025	0	1,5	    0,5	0,2	    52,66359375	0,639	17,448
0,04	0,1	0,5	    1,5	0,1	    56,52296875	0,654	18,9755
0,04	0,3	1,5	    1,5	0	    61,31046875	0,626	18,809
0,025	0	1,5	    1,5	0	    40,0815625	0,6565	13,852
0,025	0	1	    1,5	0	    37,1879375	0,6745	13,394
0,025	0	1	    1,5	0,2	    42,3018125	0,673	14,8485
0,01	0,1	1,5	    0,5	0	    64,765625	0,62	21,994
0,04	0,1	1,5	    1,5	0	    56,01009375	0,621	17,546
0,04	0	1,5	    0,5	0,2	    55,2046875	0,63	17,136
0,04	0	0,5	    0,5	0,1	    54,58028125	0,6655	18,251
0,04	0,3	0,5	    0,5	0,1	    60,6631875	0,6165	18,289
0,025	0,3	0,5	    0,5	0	    54,38746875	0,614	15,1885
0,025	0	0,5	    1,5	0	    40,07696875	0,717	15,1
0,01	0,1	1	    0,5	0,2	    59,4734375	0,6625	17,677
0,025	0,1	1	    1	0,2	    56,39359375	0,667	18,1465
0,01	0,1	1	    1	0,2	    50,30090625	0,6715	15,929
0,04	0	1	    1,5	0,2	    49,05815625	0,6605	16,455
0,01	0,1	1,5	    0,5	0,2	    59,6165625	0,654	17,662
0,04	0,1	0,5	    1,5	0,2	    56,094  	0,6755	18,8085
0,025	0,1	0,5	    0,5	0	    55,5414375	0,648	16,877
0,01	0,1	0,5	    0,5	0	    57,1495	    0,6515	16,5545
0,04	0,1	1	    1	0	    55,2140625	0,643	17,326
0,01	0,3	1,5	    0,5	0,2	    58,33446875	0,6455	16,481
